Date,Open,High,Low,Close,Volume,Status
2020-01-02,63.85,64.0,63.135,63.34,12417848,ok
2020-01-03,62.61,63.33,62.55,62.78,12986712,ok
2020-01-06,62.9,63.2354,62.67,62.98,11312026,ok
2020-01-07,62.84,64.18,62.77,63.93,15572205,ok
2020-01-08,64.05,64.61,63.86,63.86,18527321,ok
2020-01-09,64.14,65.775,64.12,65.45,16171348,ok
2020-01-10,65.45,65.97,65.04,65.23,11699844,ok
2020-01-13,65.43,66.99,65.37,66.15,19246217,ok
2020-01-14,65.81,66.53,65.57,66.44,30561020,ok
2020-01-15,66.43,67.0881,66.43,66.58,10937389,ok
2020-01-16,66.63,66.965,66.5119,66.78,8435750,ok
2020-01-17,66.75,67.2114,66.7,66.72,14374964,ok
2020-01-21,66.7,67.62,66.532,67.43,12519551,ok
2020-01-22,67.91,68.34,67.22,67.43,15187040,ok
2020-01-23,67.13,67.25,66.03,66.87,13183667,ok
2020-01-24,66.39,66.74,63.605,64.16,22453038,ok
2020-01-27,63.26,64.63,63.09,63.7,20951131,ok
2020-01-28,64.13,65.365,63.9,64.81,12761941,ok
2020-01-29,65.02,65.09,64.125,64.14,10763852,ok
2020-01-30,63.8,64.31,63.39,63.81,10783736,ok
2020-01-31,63.63,63.69,62.51,62.95,12898017,ok
2020-02-03,63.1,64.24,63.05,63.58,15987102,ok
2020-02-04,64.07,64.94,64.05,64.29,11740188,ok
2020-02-05,64.92,65.85,64.85,65.59,14991624,ok
2020-02-06,67.0,67.8,66.39,67.1,16488538,ok
2020-02-07,66.68,67.01,65.84,66.25,13093706,ok
2020-02-10,65.88,67.12,65.8,66.91,13218474,ok
2020-02-11,67.35,67.55,66.97,66.99,7261691,ok
2020-02-12,67.09,67.495,66.57,67.0,11213675,ok
2020-02-13,66.72,66.95,66.04,66.08,9149461,ok
2020-02-14,66.25,66.83,65.98,66.38,7530791,ok
2020-02-18,66.51,66.97,65.44,66.07,13832958,ok
2020-02-19,66.0,66.05,65.36,65.71,9905376,ok
2020-02-20,65.63,65.98,64.89,65.17,11360503,ok
2020-02-21,64.87,65.87,64.8,65.63,10134807,ok
2020-02-24,64.08,65.06,63.69,63.97,12105013,ok
2020-02-25,63.89,63.91,61.6,62.14,15706044,ok
2020-02-26,61.75,63.39,61.61,62.04,11266849,ok
2020-02-27,61.0,61.58,59.56,59.58,20624838,ok
2020-02-28,57.76,59.21,56.37,59.06,28294863,ok
2020-03-02,59.57,60.775,58.68,60.34,19500308,ok
2020-03-03,60.86,61.85,58.3442,59.2,18250052,ok
2020-03-04,60.2,61.68,59.6875,61.48,18228259,ok
2020-03-05,60.7,61.24,59.84,60.5,15119363,ok
2020-03-06,58.88,60.42,58.755,60.31,14833934,ok
2020-03-09,56.01,59.14,56.0,57.66,22385905,ok
2020-03-10,58.82,58.95,55.91,57.93,24830987,ok
2020-03-11,56.78,57.96,55.81,56.51,19771942,ok
2020-03-12,52.33,54.9,50.62,52.75,22963004,ok
2020-03-13,54.89,55.5,51.78,54.99,23503557,ok
2020-03-16,50.13,53.7588,48.01,51.11,20582756,ok
2020-03-17,51.83,54.1,51.2,54.09,17519635,ok
2020-03-18,51.63,52.39,48.02,50.24,27384170,ok
2020-03-19,50.11,50.7248,48.1275,48.79,20058311,ok
2020-03-20,49.05,50.64,47.25,48.4,20370800,ok
2020-03-23,47.19,48.4,45.76,46.4,21237024,ok
2020-03-24,48.18,49.5,47.39,49.24,16484846,ok
2020-03-25,49.03,51.9451,48.17,49.35,20921289,ok
2020-03-26,50.46,53.32,50.31,52.25,21601730,ok
2020-03-27,51.11,53.78,50.87,52.79,14498371,ok
2020-03-30,53.2,55.08,53.2,54.39,18013518,ok
2020-03-31,54.3,56.235,54.24,55.74,28461663,ok
2020-04-01,53.62,55.7,53.52,54.82,13441282,ok
2020-04-02,54.84,55.32,53.58,55.21,12929443,ok
2020-04-03,54.99,56.47,54.9,55.53,14654184,ok
2020-04-06,57.07,58.07,56.58,57.87,22589716,ok
2020-04-07,58.53,58.59,56.68,56.9,19224364,ok
2020-04-08,57.05,59.13,56.3607,58.25,15268733,ok
2020-04-09,58.8,59.58,58.37,58.91,13256810,ok
2020-04-13,58.5,59.4,58.06,58.92,13921584,ok
2020-04-14,59.83,60.7255,59.63,60.04,14258954,ok
2020-04-15,59.3,59.89,58.9,59.46,14402051,ok
2020-04-16,59.8,60.35,59.5,59.56,12984907,ok
2020-04-17,60.38,60.77,59.88,60.6,16697940,ok
2020-04-20,60.75,62.84,60.6,61.68,17445971,ok
2020-04-21,60.86,61.32,60.26,60.59,22203015,ok
2020-04-22,61.26,61.91,60.88,60.93,12081489,ok
2020-04-23,61.32,61.99,60.84,60.95,11897562,ok
2020-04-24,61.67,62.545,61.26,62.25,10461464,ok
2020-04-27,62.64,63.02,62.41,62.56,13994720,ok
2020-04-28,62.93,63.18,61.77,62.14,10858903,ok
2020-04-29,62.37,62.62,61.53,61.63,11035125,ok
2020-04-30,60.85,61.11,60.36,60.81,17554519,ok
2020-05-01,60.85,60.87,59.675,60.26,15582837,ok
2020-05-04,60.74,60.92,59.73,60.17,16989999,ok
2020-05-05,60.6,61.8,60.43,61.36,13340816,ok
2020-05-06,61.65,62.23,60.94,61.13,14589041,ok
2020-05-07,62.52,62.6,60.615,61.04,17537559,ok
2020-05-08,61.83,62.18,60.95,61.05,16961400,ok
2020-05-11,60.87,62.81,60.77,62.66,14146754,ok
2020-05-12,63.17,64.27,62.8766,63.35,18928073,ok
2020-05-13,63.17,63.925,62.58,63.27,17287894,ok
2020-05-14,62.5,64.125,62.13,63.77,18221663,ok
2020-05-15,64.2,65.34,63.81,64.09,35224431,ok
2020-05-18,64.92,65.21,63.48,63.6,15172064,ok
2020-05-19,63.43,63.815,62.49,62.71,11052357,ok
2020-05-20,63.0,63.25,60.83,61.68,16658223,ok
2020-05-21,61.62,61.87,60.44,61.14,16015982,ok
2020-05-22,61.01,61.658,60.59,60.79,9228647,ok
2020-05-26,61.51,61.51,60.18,60.32,18447833,ok
2020-05-27,60.0,60.52,59.11,60.4,19071687,ok
2020-05-28,60.96,60.98,59.68,59.81,14977982,ok
2020-05-29,60.3,60.47,59.38,59.72,27225416,ok
2020-06-01,59.46,61.44,59.43,60.29,11508668,ok
2020-06-02,60.29,60.68,59.27,60.65,15460090,ok
2020-06-03,60.7,60.89,59.69,60.21,13497602,ok
2020-06-04,59.82,61.09,59.82,60.89,13476925,ok
2020-06-05,61.18,61.77,60.53,61.33,11862574,ok
2020-06-08,60.6,61.43,60.4,61.43,12549061,ok
2020-06-09,61.75,62.17,60.93,60.93,12159516,ok
2020-06-10,61.24,61.42,59.9,60.16,13343689,ok
2020-06-11,59.9,60.28,56.4,56.71,17371867,ok
2020-06-12,57.59,57.65,55.59,56.17,14864159,ok
2020-06-15,55.64,55.78,54.07,55.1,21617774,ok
2020-06-16,55.93,57.29,55.5,57.06,16976046,ok
2020-06-17,57.21,57.36,56.71,56.95,13638178,ok
2020-06-18,56.57,56.6241,55.58,55.97,14113283,ok
2020-06-19,56.7,56.83,54.73,56.41,54103618,ok
2020-06-22,56.24,57.685,55.92,57.56,18716176,ok
2020-06-23,57.94,59.1,57.82,58.38,15557245,ok
2020-06-24,58.11,58.21,57.11,57.76,11177161,ok
2020-06-25,58.01,58.47,57.695,58.18,15267197,ok
2020-06-26,57.96,58.02,56.67,57.54,26132408,ok
2020-06-29,57.99,58.14,57.31,57.8,9831434,ok
2020-06-30,57.86,59.2,57.5,58.8,12139663,ok
2020-07-01,59.19,59.73,58.88,59.43,11738306,ok
2020-07-02,59.3,59.64,58.75,59.14,11366050,ok
2020-07-06,59.6,60.575,58.87,60.19,8810771,ok
2020-07-07,59.76,60.61,59.52,60.29,12767119,ok
2020-07-08,60.32,60.68,59.28,59.56,10507023,ok
2020-07-09,59.66,60.14,57.83,58.11,12780352,ok
2020-07-10,58.0,58.09,57.16,57.43,8770005,ok
2020-07-13,57.57,58.49,57.5,57.75,10149017,ok
2020-07-14,57.83,58.1,57.285,57.89,12153931,ok
2020-07-15,58.65,59.61,58.32,59.27,9459354,ok
2020-07-16,59.23,59.38,58.73,59.32,6949690,ok
2020-07-17,59.7,60.62,59.395,60.39,9078853,ok
2020-07-20,60.29,60.64,59.215,59.46,6759932,ok
2020-07-21,59.59,60.235,59.315,59.8,7804590,ok
2020-07-22,59.89,60.33,59.34,59.85,8960993,ok
2020-07-23,60.12,60.46,59.57,59.87,8913208,ok
2020-07-24,59.67,59.76,57.55,57.85,12531912,ok
2020-07-27,57.55,58.62,57.35,58.05,12371976,ok
2020-07-28,58.55,59.82,58.24,59.43,9816702,ok
2020-07-29,59.16,59.4,58.59,59.15,7358112,ok
2020-07-30,58.8,59.145,58.34,58.87,7175223,ok
2020-07-31,58.88,59.09,57.77,58.66,10439919,ok
2020-08-03,59.11,59.64,58.95,59.1,10342145,ok
2020-08-04,58.83,59.51,58.53,59.47,6527592,ok
2020-08-05,59.95,60.38,59.41,59.69,10789008,ok
2020-08-06,62.0,62.97,60.42,61.33,18961905,ok
2020-08-07,61.56,61.65,60.42,61.02,9969080,ok
2020-08-10,60.96,61.99,60.77,61.82,9820895,ok
2020-08-11,62.97,64.25,62.69,63.13,20736042,ok
2020-08-12,63.58,64.27,63.445,63.64,8616460,ok
2020-08-13,63.02,63.58,62.9,63.24,7748683,ok
2020-08-14,63.19,63.55,62.75,63.16,5607240,ok
2020-08-17,63.41,64.075,63.165,63.62,5972353,ok
2020-08-18,63.49,63.68,62.9,63.03,5745940,ok
2020-08-19,63.07,63.82,62.95,63.09,6092743,ok
2020-08-20,62.78,62.86,61.93,62.22,6326716,ok
2020-08-21,62.22,62.35,61.74,62.19,8031476,ok
2020-08-24,62.34,62.4563,61.7,62.41,8720994,ok
2020-08-25,62.75,63.365,62.5,62.71,6620701,ok
2020-08-26,62.5,62.5901,61.58,62.28,6196062,ok
2020-08-27,62.5,62.96,62.24,62.51,6389455,ok
2020-08-28,62.5,62.59,61.85,62.37,6380448,ok
2020-08-31,62.38,62.8,61.95,62.2,14189751,ok
2020-09-01,62.2,62.26,60.69,60.97,12155651,ok
2020-09-02,60.79,61.82,60.46,61.6,13287264,ok
2020-09-03,61.62,62.02,59.53,60.05,16483900,ok
2020-09-04,60.18,60.53,59.25,59.95,16405779,ok
2020-09-08,59.87,60.0,58.14,58.53,11735877,ok
2020-09-09,58.93,59.6,58.76,59.08,7173681,ok
2020-09-10,58.99,59.3,58.18,58.29,11995267,ok
2020-09-11,58.46,59.265,58.43,58.99,8573842,ok
2020-09-14,59.19,60.09,59.07,59.7,6242711,ok
2020-09-15,59.97,60.11,59.39,59.53,8259337,ok
2020-09-16,59.67,59.97,59.2402,59.45,6164360,ok
2020-09-17,59.0,59.43,58.26,59.4,6624754,ok
2020-09-18,59.09,59.715,58.8275,59.27,13944502,ok
2020-09-21,58.92,58.96,56.9,57.77,16199704,ok
2020-09-22,57.77,58.845,57.63,58.76,12466793,ok
2020-09-23,59.05,59.495,58.62,58.99,11436563,ok
2020-09-24,58.48,58.82,57.7,58.25,10358751,ok
2020-09-25,58.26,59.84,58.1567,59.49,9835945,ok
2020-09-28,59.37,60.21,58.96,59.71,9616574,ok
2020-09-29,59.84,60.94,59.68,59.9,8084277,ok
2020-09-30,60.14,60.64,59.79,60.29,10322517,ok
2020-10-01,60.38,60.57,59.625,59.82,8747559,ok
2020-10-02,59.39,60.01,58.68,58.72,12574250,ok
2020-10-05,58.55,59.28,57.95,59.2,10992264,ok
2020-10-06,59.34,59.46,57.61,57.74,13113349,ok
2020-10-07,58.15,60.98,57.96,60.42,14632584,ok
2020-10-08,60.85,62.09,60.46,61.62,11787269,ok
2020-10-09,61.8,62.295,61.605,61.82,9408430,ok
2020-10-12,61.98,62.25,61.48,61.83,11532170,ok
2020-10-13,61.56,62.01,60.98,61.13,8374420,ok
2020-10-14,61.11,61.63,60.721,61.0,8823159,ok
2020-10-15,60.59,60.9,60.31,60.42,13105283,ok
2020-10-16,60.67,61.74,60.65,61.24,9385613,ok
2020-10-19,61.8,62.42,60.5051,60.77,10999136,ok
2020-10-20,61.09,61.2684,60.53,60.64,6635199,ok
2020-10-21,60.39,60.75,59.95,60.03,8004805,ok
2020-10-22,59.98,61.01,59.95,60.76,7038473,ok
2020-10-23,60.83,61.22,60.0717,60.13,7336812,ok
2020-10-26,59.82,60.14,59.035,59.67,7484139,ok
2020-10-27,59.26,59.84,58.56,58.74,10008246,ok
2020-10-28,58.0,58.54,57.4,57.76,11931155,ok
2020-10-29,57.81,58.43,56.754,57.92,8838608,ok
2020-10-30,57.71,58.48,57.59,58.45,11156016,ok
2020-11-02,59.19,59.64,58.84,59.49,10318907,ok
2020-11-03,61.01,62.24,60.21,61.24,14235975,ok
2020-11-04,63.96,66.23,63.75,65.43,24699665,ok
2020-11-05,64.99,65.38,63.54,63.75,17676076,ok
2020-11-06,63.61,64.92,63.38,63.8,9680121,ok
2020-11-09,65.12,66.08,63.99,64.08,15533290,ok
2020-11-10,64.21,64.795,63.71,64.52,11210020,ok
2020-11-11,65.07,65.12,63.025,63.42,8269684,ok
2020-11-12,63.14,63.14,62.195,62.75,7603951,ok
2020-11-13,62.79,64.04,62.77,63.62,9435226,ok
2020-11-16,64.12,64.93,63.845,64.5,7199552,ok
2020-11-17,64.47,64.7,63.88,64.32,8610180,ok
2020-11-18,64.67,64.7,62.0,62.01,12455274,ok
2020-11-19,62.2,62.4,61.15,62.09,9025456,ok
2020-11-20,61.85,62.33,61.4,61.61,8305175,ok
2020-11-23,61.74,62.01,61.08,61.92,9595949,ok
2020-11-24,61.95,63.51,61.88,63.22,13512667,ok
2020-11-25,63.42,63.5,62.2,62.84,9520905,ok
2020-11-27,63.28,63.69,62.88,63.05,4178758,ok
2020-11-30,63.05,63.27,61.99,62.4,14996593,ok
2020-12-01,63.15,63.74,62.335,62.41,9871490,ok
2020-12-02,62.41,62.83,61.9,62.18,8077211,ok
2020-12-03,62.0,62.2867,61.58,61.78,10944865,ok
2020-12-04,61.79,62.31,61.65,62.31,8159036,ok
2020-12-07,62.19,62.59,60.97,61.2,8974004,ok
2020-12-08,61.17,61.78,60.85,61.12,10830625,ok
2020-12-09,61.5,61.56,60.33,60.92,10244472,ok
2020-12-10,60.91,61.04,59.96,60.2,9428615,ok
2020-12-11,60.33,61.47,60.2,60.72,10021620,ok
2020-12-14,61.01,61.1017,59.92,59.97,11400404,ok
2020-12-15,61.26,62.64,60.85,62.57,14943243,ok
2020-12-16,62.5,63.2793,62.29,62.34,9498025,ok
2020-12-17,62.57,62.82,61.99,62.54,10642358,ok
2020-12-18,62.65,63.45,62.4358,63.12,21177770,ok
2020-12-21,62.0,62.12,61.34,62.01,13055650,ok
2020-12-22,61.77,61.97,61.13,61.43,8114059,ok
2020-12-23,61.37,61.63,61.0,61.0,6235071,ok
2020-12-24,61.12,61.36,60.935,61.15,3099674,ok
2020-12-28,61.42,61.74,60.805,61.12,6855650,ok
2020-12-29,61.7,61.94,61.34,61.42,6653445,ok
2020-12-30,61.62,62.16,61.48,61.92,6624061,ok
2020-12-31,61.44,62.11,60.965,62.03,8649307,ok
2021-01-04,61.74,62.15,60.5,61.38,12429551,ok
2021-01-05,61.11,61.71,60.465,61.55,11584571,ok
2021-01-06,60.55,62.045,60.52,61.7,12426224,ok
2021-01-07,61.34,62.63,61.0,62.36,10932145,ok
2021-01-08,62.19,63.18,62.15,62.49,10010525,ok
2021-01-11,63.4,65.245,63.24,64.97,18251240,ok
2021-01-12,65.36,66.3,64.91,65.43,15757455,ok
2021-01-13,65.5,65.96,64.64,64.73,10292364,ok
2021-01-14,64.91,66.37,64.78,66.02,12479839,ok
2021-01-15,66.02,66.86,65.54,66.54,11296524,ok
2021-01-19,66.85,67.1599,66.325,66.74,10847814,ok
2021-01-20,66.57,66.82,66.0,66.25,9609597,ok
2021-01-21,65.65,66.2,63.98,64.18,14066129,ok
2021-01-22,63.89,65.025,63.76,64.56,9071894,ok
2021-01-25,64.64,65.14,63.96,64.83,9171007,ok
2021-01-26,64.5,65.65,64.38,64.44,11284071,ok
2021-01-27,63.89,63.89,61.9,62.02,13847661,ok
2021-01-28,62.83,63.375,62.2,62.29,17514730,ok
2021-01-29,62.3,62.8,61.03,61.43,16091962,ok
2021-02-01,61.91,62.865,61.66,62.21,11240855,ok
2021-02-02,63.0,64.635,62.89,62.94,16059655,ok
2021-02-03,62.87,63.21,62.01,62.03,15114986,ok
2021-02-04,62.0,62.89,61.24,61.56,15997011,ok
2021-02-05,61.06,61.7663,60.505,60.92,16249169,ok
2021-02-08,61.35,61.366,59.67,60.23,18864254,ok
2021-02-09,60.23,60.34,59.68,59.76,14226072,ok
2021-02-10,60.1,60.53,59.61,60.0,13070978,ok
2021-02-11,60.0,60.22,59.695,59.99,8256806,ok
2021-02-12,59.86,60.275,59.65,59.99,9493630,ok
2021-02-16,60.1,60.37,59.37,59.4,12386405,ok
2021-02-17,59.49,60.93,59.42,60.59,11678059,ok
2021-02-18,60.31,61.72,60.3,61.02,14078837,ok
2021-02-19,61.14,61.5,60.52,60.6,16997139,ok
2021-02-22,60.42,61.241,59.71,60.99,9916625,ok
2021-02-23,61.2,61.38,60.025,60.72,13742028,ok
2021-02-24,60.9,62.92,60.87,62.59,16517945,ok
2021-02-25,62.43,63.17,61.81,62.1,17077050,ok
2021-02-26,62.03,62.6999,61.26,61.33,13229657,ok
2021-03-01,61.9,62.065,61.52,61.63,7325039,ok
2021-03-02,61.95,62.18,61.21,61.27,9584864,ok
2021-03-03,61.05,61.35,59.965,60.75,13599944,ok
2021-03-04,60.54,60.96,58.625,59.34,17309768,ok
2021-03-05,59.51,60.59,59.33,60.43,14980107,ok
2021-03-08,60.6,61.715,60.13,60.45,10617262,ok
2021-03-09,60.79,61.86,60.56,60.57,12662469,ok
2021-03-10,61.14,61.2801,60.46,60.93,10240153,ok
2021-03-11,61.0,61.19,60.35,60.35,10099541,ok
2021-03-12,60.43,60.94,60.2,60.64,8029976,ok
2021-03-15,60.66,61.44,60.29,61.39,10950517,ok
2021-03-16,61.34,62.1401,61.34,61.9,10162998,ok
2021-03-17,62.09,62.54,61.45,62.18,9548122,ok
2021-03-18,61.98,63.235,61.86,62.33,12145590,ok
2021-03-19,62.07,62.75,61.365,62.7,32082150,ok
2021-03-22,62.2,63.52,62.11,63.38,16103356,ok
2021-03-23,63.38,63.53,62.59,62.62,11014517,ok
2021-03-24,62.46,62.89,62.27,62.3,9626293,ok
2021-03-25,63.0,63.0,61.98,62.79,11157337,ok
2021-03-26,62.95,63.98,62.83,63.94,12538045,ok
2021-03-29,63.86,64.415,63.655,64.07,9703165,ok
2021-03-30,64.0,64.08,63.17,63.31,12232667,ok
2021-03-31,62.9,63.77,62.78,63.13,12678977,ok
2021-04-01,63.18,63.34,62.54,62.93,9725919,ok
2021-04-05,62.9,63.6,62.88,63.16,8868054,ok
2021-04-06,63.21,63.3,61.89,61.98,14002245,ok
2021-04-07,62.01,62.54,61.93,62.06,11799686,ok
2021-04-08,62.2,62.42,61.76,61.91,7846938,ok
2021-04-09,61.8,62.64,61.68,62.61,7867969,ok
